1000; EMCY_LEVEL_SYSTEM; Driver: Up Command; 
502F; EMCY_LEVEL_FC; Chk FC RadL Temp Out; 
5030; EMCY_LEVEL_FC; Chk FC Pump Pres Out; 
5031; EMCY_LEVEL_TRACTION; Chk Sevcon Temp In; 
5032; EMCY_LEVEL_TRACTION; Chk Sevcon Pres In; 
5033; EMCY_LEVEL_TRACTION; Chk Sevcon Temp Out; 
5034; EMCY_LEVEL_TRACTION; Chk Sevcon Pres Out; 
5035; EMCY_LEVEL_LOW_SIDE; Chk Brusa Temp In; 
5036; EMCY_LEVEL_LOW_SIDE; Chk Brusa Pres In; 
5037; EMCY_LEVEL_TRACTION; Chk Bruvcon Pump Pres; 
5038; EMCY_LEVEL_HIGH_SIDE; Chk Ac Cool Temp In; 
5039; EMCY_LEVEL_HIGH_SIDE; Chk Acc Cool Pres In; 
503A; EMCY_LEVEL_HIGH_SIDE; Chk Acc Cool Temp Out; 
503B; EMCY_LEVEL_HIGH_SIDE; Chk Acc Cool Pres Out; 
503C; EMCY_LEVEL_HIGH_SIDE; Chk Acc Pump Pres Out; 
503D; EMCY_LEVEL_FC; Chk AP Motor Temp In; 
503E; EMCY_LEVEL_FC; Chk AP Motor Pres In; 
503F; EMCY_LEVEL_FC; Chk AP Motor Temp Out; 
5040; EMCY_LEVEL_FC; Chk AP Motor Pres Out; 
5041; EMCY_LEVEL_FC; Chk AP Pump Pres Out; 
5042; EMCY_LEVEL_FC; Chk AP Rad Temp Out; 
5043; EMCY_LEVEL_FC; Chk AP Rad Pres Out; 
5044; EMCY_LEVEL_FC; Chk AP Brnch Temp Out; 
5045; EMCY_LEVEL_TRACTION; Chk Yasa Oil Temp In; 
5046; EMCY_LEVEL_TRACTION; Chk Yasa Oil Pres In; 
5047; EMCY_LEVEL_TRACTION; Chk Yasa Oil Temp Out; 
5048; EMCY_LEVEL_TRACTION; Chk Yasa Oil Pres Out; 
5049; EMCY_LEVEL_TRACTION; Chk Yasa Pump Pres; 
504A; EMCY_LEVEL_TRACTION; Chk Yasa HE Temp Out; 
504B; EMCY_LEVEL_TRACTION; Chk Yasa HE Pres Out; 
504C; EMCY_LEVEL_FC; Chk Rotrex Temp In; 
504D; EMCY_LEVEL_FC; Chk Rotrex Temp Out; 
504E; EMCY_LEVEL_TRACTION; Chk GB Oil Temp In; 
504F; EMCY_LEVEL_TRACTION; Chk GB Oil Temp Out; 
5050; EMCY_LEVEL_TRACTION; Chk GB Oil Pres In; 
6000; EMCY_LEVEL_SYSTEM; EmbOS RTOS; 
6001; EMCY_LEVEL_SYSTEM; EmbOS application; 
6002; EMCY_LEVEL_SYSTEM; Stack almost full; 
6003; EMCY_LEVEL_SYSTEM; Background starved; 
6004; EMCY_LEVEL_SYSTEM; EEPROM timeout; 
6005; EMCY_LEVEL_SYSTEM; Backgnd starved DAQ; 
8120; EMCY_LEVEL_SYSTEM; CAN error passive; 
8140; EMCY_LEVEL_SYSTEM; CAN busoff; 
8260; EMCY_LEVEL_SYSTEM; CAN warning; 
8280; EMCY_LEVEL_SYSTEM; CAN overrun; 
F000; EMCY_LEVEL_LV; LV invalid command; 
F001; EMCY_LEVEL_LV; LV command no effect; 
F002; EMCY_LEVEL_LV; LV critical state; 
F003; EMCY_LEVEL_LV; LV panic state; 
F004; EMCY_LEVEL_LV; LV EMCY received; hide
F005; EMCY_LEVEL_LV; Dashboard HB lost; 
F006; EMCY_LEVEL_LV; Lifeline cut; 
F007; EMCY_LEVEL_LV; Lost backup pwr; 
F008; EMCY_LEVEL_LV; PDU Vicor fault; 
F009; EMCY_LEVEL_LV; PDU Vicor fault; 
F00A; EMCY_LEVEL_LV; PDU Vicor fault; 
F00B; EMCY_LEVEL_LV; Crashed. Still alive?; 
F00C; EMCY_LEVEL_LV; Vicor overtemp.; 
F00D; EMCY_LEVEL_LV; Vicor overtemp.; 
F00E; EMCY_LEVEL_LV; Battery overcurrent; 
F00F; EMCY_LEVEL_LV; Aux. overcurrent; 
F010; EMCY_LEVEL_LV; 24V undervoltage; 
F011; EMCY_LEVEL_LV; 24V overvoltage; 
F012; EMCY_LEVEL_LV; Node P overcurrent; 
F013; EMCY_LEVEL_LV; Node P fuse blown; 
F014; EMCY_LEVEL_LV; Node S overcurrent; 
F015; EMCY_LEVEL_LV; Node S fuse blown; 
F016; EMCY_LEVEL_LV; F light overcurrent; 
F017; EMCY_LEVEL_LV; F light fuse blown; 
F018; EMCY_LEVEL_LV; Wiper overcurrent; 
F019; EMCY_LEVEL_LV; Wiper fuse blown; 
F022; EMCY_LEVEL_LV; Cool 1 overcurrent; 
F023; EMCY_LEVEL_LV; Cool 1 fuse blown; 
F024; EMCY_LEVEL_LV; Cool 2 overcurrent; 
F025; EMCY_LEVEL_LV; Cool 2 fuse blown; 
F026; EMCY_LEVEL_LV; Extra overcurrent; 
F027; EMCY_LEVEL_LV; Extra fuse blown; 
F028; EMCY_LEVEL_LV; Extra overcurrent; 
F029; EMCY_LEVEL_LV; Extra fuse blown; 
F02A; EMCY_LEVEL_LV; Extra overcurrent; 
F02B; EMCY_LEVEL_LV; Extra fuse blown; 
F02C; EMCY_LEVEL_LV; PDU DAC communication; 
F02D; EMCY_LEVEL_LV; Startup battery empty; 
F02E; EMCY_LEVEL_LV; R light overcurrent; 
F02F; EMCY_LEVEL_LV; R Brake light overcur; 
F030; EMCY_LEVEL_LV; R l indicator overcur; 
F031; EMCY_LEVEL_LV; R r indicator overcur; 
F032; EMCY_LEVEL_LV; F l indicator overcur; 
F033; EMCY_LEVEL_LV; F r indicator overcur; 
F034; EMCY_LEVEL_LV; F l indic reset fail; 
F035; EMCY_LEVEL_LV; F r indic reset fail; 
F036; EMCY_LEVEL_LV; F l indic reset fail; 
F037; EMCY_LEVEL_LV; R light reset failed; 
F038; EMCY_LEVEL_LV; R Brake light reset f; 
F039; EMCY_LEVEL_LV; R l indic reset fail; 
F03A; EMCY_LEVEL_LV; R r indic reset fail; 
F03B; EMCY_LEVEL_LV; F pos light overcur; 
F03C; EMCY_LEVEL_LV; F position reset fail; 
F03D; EMCY_LEVEL_LV; R brake led overcur; 
F03E; EMCY_LEVEL_LV; R brakeled reset fail; 
F03F; EMCY_LEVEL_LV; Castle fan overcurr.; 
F040; EMCY_LEVEL_LV; Rear tank fuse blown; 
F041; EMCY_LEVEL_LV; Front tank fuse blown; 
F042; EMCY_LEVEL_LV; FRONT SOLENOID PANIC!; 
F043; EMCY_LEVEL_LV; REAR SOLENOID PANIC!; 
F044; EMCY_LEVEL_LV; PDU FC Vicor Timeout; 
F045; EMCY_LEVEL_LV; FC pump vicor overcur; 
F046; EMCY_LEVEL_LV; FC pump vicor LS trip; 
F047; EMCY_LEVEL_LV; Battery almost empty; 
F048; EMCY_LEVEL_LV; F.Tank Sol no current; 
F049; EMCY_LEVEL_LV; R.Tank Sol no current; 
F100; EMCY_LEVEL_HIGH_SIDE; HS invalid command; 
F101; EMCY_LEVEL_HIGH_SIDE; HS command no effect; 
F102; EMCY_LEVEL_HIGH_SIDE; HS critical state; 
F103; EMCY_LEVEL_HIGH_SIDE; HS panic state; 
F104; EMCY_LEVEL_HIGH_SIDE; HS EMCY received; hide
F105; EMCY_LEVEL_HIGH_SIDE; Dashboard HB lost; 
F106; EMCY_LEVEL_HIGH_SIDE; HS precharge timeout; 
F107; EMCY_LEVEL_HIGH_SIDE; AMS current timeout; 
F108; EMCY_LEVEL_HIGH_SIDE; BRUSA communic. lost; 
F109; EMCY_LEVEL_HIGH_SIDE; BRUSA error; 
F10A; EMCY_LEVEL_HIGH_SIDE; HSJB lifeline cut; 
F10B; EMCY_LEVEL_HIGH_SIDE; HSJB interlock cut; 
F10C; EMCY_LEVEL_HIGH_SIDE; HS bus overvoltage; 
F10D; EMCY_LEVEL_HIGH_SIDE; HS bus voltage range; 
F10E; EMCY_LEVEL_HIGH_SIDE; HS ADS1118 communic.; 
F10F; EMCY_LEVEL_HIGH_SIDE; HSJB overtemperature; 
F110; EMCY_LEVEL_HIGH_SIDE; LEM CAB accumulator 1; 
F111; EMCY_LEVEL_HIGH_SIDE; LEM CAB accumulator 2; 
F112; EMCY_LEVEL_HIGH_SIDE; LEM CAB Sevcon 1; 
F113; EMCY_LEVEL_HIGH_SIDE; LEM CAB Sevcon 2; 
F114; EMCY_LEVEL_HIGH_SIDE; RTM light overcurrent; 
F115; EMCY_LEVEL_HIGH_SIDE; Acc. cool timeout; 
F116; EMCY_LEVEL_HIGH_SIDE; Acc. cool checksum; 
F117; EMCY_LEVEL_HIGH_SIDE; Acc. under pres.; 
F118; EMCY_LEVEL_HIGH_SIDE; Acc. over pres.; 
F119; EMCY_LEVEL_HIGH_SIDE; HS reset failed; 
F11A; EMCY_LEVEL_HIGH_SIDE; Acc. ZERO pres.; 
F11B; EMCY_LEVEL_HIGH_SIDE; Acc coolpump overtemp; 
F11C; EMCY_LEVEL_HIGH_SIDE; Acc coolpump overcurr; 
F11D; EMCY_LEVEL_HIGH_SIDE; Acc. coolpump blocked; 
F11E; EMCY_LEVEL_HIGH_SIDE; IMD resistance warn; 
F11F; EMCY_LEVEL_HIGH_SIDE; HSJB temp warning; 
F120; EMCY_LEVEL_HIGH_SIDE; IMD resistance low; 
F121; EMCY_LEVEL_HIGH_SIDE; ACC ESR high warning; 
F122; EMCY_LEVEL_HIGH_SIDE; BRUSA warning; 
F123; EMCY_LEVEL_HIGH_SIDE; ACC Balance Stopped; 
F180; EMCY_LEVEL_HIGH_SIDE; Acc. undervoltage; 
F181; EMCY_LEVEL_HIGH_SIDE; Acc. undervoltage; 
F182; EMCY_LEVEL_HIGH_SIDE; Acc. overvoltage; 
F183; EMCY_LEVEL_HIGH_SIDE; Acc. overtemperature; 
F184; EMCY_LEVEL_HIGH_SIDE; Acc. PEC error; 
F185; EMCY_LEVEL_HIGH_SIDE; Acc. SPI error; 
F186; EMCY_LEVEL_HIGH_SIDE; Acc. mux error; 
F187; EMCY_LEVEL_HIGH_SIDE; IMD critically low; 
F188; EMCY_LEVEL_HIGH_SIDE; HS acc. overvoltage; 
F189; EMCY_LEVEL_HIGH_SIDE; HS acc. voltage range; 
F18A; EMCY_LEVEL_HIGH_SIDE; RESS overcurrent; 
F18B; EMCY_LEVEL_HIGH_SIDE; HS cont. overcurrent; 
F18C; EMCY_LEVEL_HIGH_SIDE; HS cont. overcurrent; 
F18D; EMCY_LEVEL_HIGH_SIDE; HS cont. overcurrent; 
F200; EMCY_LEVEL_TRACTION; Traction invalid cmd; 
F201; EMCY_LEVEL_TRACTION; Trac cmd no effect; 
F202; EMCY_LEVEL_TRACTION; Traction crit. state; 
F203; EMCY_LEVEL_TRACTION; Traction panic state; 
F204; EMCY_LEVEL_TRACTION; Traction EMCY received; hide
F205; EMCY_LEVEL_TRACTION; Dashboard HB lost; 
F206; EMCY_LEVEL_TRACTION; Traction reset failed; 
F207; EMCY_LEVEL_TRACTION; Throttle sig. invalid; 
F208; EMCY_LEVEL_TRACTION; Sevcon communication; 
F209; EMCY_LEVEL_TRACTION; Sevcon 1 EMCY; 
F20A; EMCY_LEVEL_TRACTION; Sevcon 2 EMCY; 
F20B; EMCY_LEVEL_TRACTION; Sevcon 1 HB lost; 
F20C; EMCY_LEVEL_TRACTION; Sevcon 2 HB lost; 
F20D; EMCY_LEVEL_TRACTION; Sevcon 1 timeout; 
F20E; EMCY_LEVEL_TRACTION; Sevcon 2 timeout; 
F20F; EMCY_LEVEL_TRACTION; YASA rotor overtemp.; 
F210; EMCY_LEVEL_TRACTION; YASA rotor overtemp.; 
F211; EMCY_LEVEL_TRACTION; YASA stator overtemp.; 
F212; EMCY_LEVEL_TRACTION; Sevcon overtemp.; 
F213; EMCY_LEVEL_TRACTION; YASA rotor overtemp.; 
F214; EMCY_LEVEL_TRACTION; YASA rotor overtemp.; 
F215; EMCY_LEVEL_TRACTION; YASA stator overtemp.; 
F216; EMCY_LEVEL_TRACTION; Sevcon overtemp.; 
F217; EMCY_LEVEL_TRACTION; Gearbox overtemp.; 
F218; EMCY_LEVEL_TRACTION; Gearbox overtemp.; 
F21B; EMCY_LEVEL_TRACTION; Bruvcon pump timeout; 
F21C; EMCY_LEVEL_TRACTION; Bruvcon pump checksum; 
F21D; EMCY_LEVEL_TRACTION; Yasa pump timeout; 
F21E; EMCY_LEVEL_TRACTION; Yasa pump checksum; 
F21F; EMCY_LEVEL_TRACTION; Gearbox under pres.; 
F220; EMCY_LEVEL_TRACTION; Gearbox over pres.; 
F221; EMCY_LEVEL_TRACTION; Bruvcon under pres.; 
F222; EMCY_LEVEL_TRACTION; Bruvcon over pres.; 
F223; EMCY_LEVEL_TRACTION; Yasa under pres.; 
F224; EMCY_LEVEL_TRACTION; Yasa under pres.; 
F225; EMCY_LEVEL_TRACTION; ABS timeout; 
F226; EMCY_LEVEL_TRACTION; ABS fault; 
F227; EMCY_LEVEL_TRACTION; GPS communication; 
F228; EMCY_LEVEL_TRACTION; GPS failure; 
F229; EMCY_LEVEL_TRACTION; GPS antenna; 
F22A; EMCY_LEVEL_TRACTION; GPS overcurrent; 
F22B; EMCY_LEVEL_TRACTION; SR control failed; 
F22C; EMCY_LEVEL_TRACTION; SR control restored; 
F22D; EMCY_LEVEL_TRACTION; ABS failed; 
F22E; EMCY_LEVEL_TRACTION; ABS restored; 
F22F; EMCY_LEVEL_TRACTION; Power steer failed; 
F230; EMCY_LEVEL_TRACTION; Power steer restored; 
F231; EMCY_LEVEL_TRACTION; Regen failed; 
F232; EMCY_LEVEL_TRACTION; Regen restored; 
F233; EMCY_LEVEL_TRACTION; TV failed; 
F234; EMCY_LEVEL_TRACTION; TV restored; 
F235; EMCY_LEVEL_TRACTION; Power steer timeout; 
F236; EMCY_LEVEL_TRACTION; Power steer overcurr.; 
F237; EMCY_LEVEL_TRACTION; Powersteer fuse blown; 
F238; EMCY_LEVEL_TRACTION; ABS overcurrent; 
F239; EMCY_LEVEL_TRACTION; ABS fuse blown; 
F23A; EMCY_LEVEL_TRACTION; Pos display overcurr; 
F23B; EMCY_LEVEL_TRACTION; Pos disp. fuse blown; 
F23C; EMCY_LEVEL_TRACTION; Powersteer overcurr.; 
F23D; EMCY_LEVEL_TRACTION; Power steer fault; 
F23E; EMCY_LEVEL_TRACTION; GB fan overcurrent; 
F23F; EMCY_LEVEL_TRACTION; GB fan fuse blown; 
F240; EMCY_LEVEL_TRACTION; Sevcon 1 Disabled; 
F241; EMCY_LEVEL_TRACTION; Sevcon 2 Disabled; 
F242; EMCY_LEVEL_TRACTION; GB Feed pump timeout; 
F243; EMCY_LEVEL_TRACTION; GB Feed pump checksum; 
F244; EMCY_LEVEL_TRACTION; GB Scav pump timeout; 
F245; EMCY_LEVEL_TRACTION; GB Scav pump checksum; 
F246; EMCY_LEVEL_TRACTION; Yasa R power fault; 
F247; EMCY_LEVEL_TRACTION; Yasa L power fault; 
F248; EMCY_LEVEL_TRACTION; Yasa R encoder fault; 
F249; EMCY_LEVEL_TRACTION; Yasa L encoder fault; 
F24A; EMCY_LEVEL_TRACTION; Sevcon 1 interlock; 
F24B; EMCY_LEVEL_TRACTION; Sevcon 2 interlock; 
F24C; EMCY_LEVEL_TRACTION; Gearbox ZERO pres.; 
F24D; EMCY_LEVEL_TRACTION; Bruvcon ZERO pres .; 
F24E; EMCY_LEVEL_TRACTION; Yasa ZERO pres.; 
F24F; EMCY_LEVEL_TRACTION; GB Feed pump overtemp; 
F250; EMCY_LEVEL_TRACTION; GB Feed pump overcur; 
F251; EMCY_LEVEL_TRACTION; GB Feed pump blocked; 
F252; EMCY_LEVEL_TRACTION; GB Scav pump overtemp; 
F253; EMCY_LEVEL_TRACTION; GB Scav pump overcur; 
F254; EMCY_LEVEL_TRACTION; GB Scav pump blocked; 
F255; EMCY_LEVEL_TRACTION; Bruvcon pump overtemp; 
F256; EMCY_LEVEL_TRACTION; Bruvcon pump overcurr; 
F257; EMCY_LEVEL_TRACTION; Bruvcon pump blocked; 
F258; EMCY_LEVEL_TRACTION; YASA pump overtemp; 
F259; EMCY_LEVEL_TRACTION; YASA pump overcurrent; 
F25A; EMCY_LEVEL_TRACTION; YASA pump blocked; 
F25B; EMCY_LEVEL_TRACTION; SAS diff too high; 
F25C; EMCY_LEVEL_TRACTION; GB Feed Pump Stopped; 
F25D; EMCY_LEVEL_TRACTION; GB Scav Pump Stopped; 
F300; EMCY_LEVEL_LOW_SIDE; LS invalid command; 
F301; EMCY_LEVEL_LOW_SIDE; LS command no effect; 
F302; EMCY_LEVEL_LOW_SIDE; LS critical state; 
F303; EMCY_LEVEL_LOW_SIDE; LS panic state; 
F304; EMCY_LEVEL_LOW_SIDE; LS EMCY received; hide
F305; EMCY_LEVEL_LOW_SIDE; Dashboard HB lost; 
F306; EMCY_LEVEL_LOW_SIDE; LS reset failed; 
F307; EMCY_LEVEL_LOW_SIDE; LS precharge timeout; 
F308; EMCY_LEVEL_LOW_SIDE; LSJB lifeline cut; 
F309; EMCY_LEVEL_LOW_SIDE; LSJB interlock cut; 
F30A; EMCY_LEVEL_LOW_SIDE; LS cont. overcurrent; 
F30B; EMCY_LEVEL_LOW_SIDE; LS cont. overcurrent; 
F30C; EMCY_LEVEL_LOW_SIDE; LS cont. overcurrent; 
F30D; EMCY_LEVEL_FC; CAB stack 1; 
F30E; EMCY_LEVEL_FC; LEM CAB stack 2; 
F30F; EMCY_LEVEL_LOW_SIDE; Stack overcurrent; 
F310; EMCY_LEVEL_LOW_SIDE; LS ADS1118 communic.; 
F311; EMCY_LEVEL_LOW_SIDE; LS bus overvoltage; 
F312; EMCY_LEVEL_LOW_SIDE; LS bus voltage range; 
F313; EMCY_LEVEL_LOW_SIDE; LS stack overvoltage; 
F314; EMCY_LEVEL_LOW_SIDE; LS stackvoltage range; 
F315; EMCY_LEVEL_FC; LSJB overtemperature; 
F31A; EMCY_LEVEL_FC; BRUSA overtemperature; 
F31B; EMCY_LEVEL_FC; BRUSA setpoint range; 
F31C; EMCY_LEVEL_FC; BRUSA derating; 
F31D; EMCY_LEVEL_LOW_SIDE; MF Set.Comm Err. 0; 
F31E; EMCY_LEVEL_LOW_SIDE; MF Set.Comm Err. 1; 
F31F; EMCY_LEVEL_LOW_SIDE; MF Set.Comm Err. 2; 
F320; EMCY_LEVEL_LOW_SIDE; MF Set.Comm Err. 3; 
F321; EMCY_LEVEL_LOW_SIDE; MF Set.Comm Err. 4; 
F322; EMCY_LEVEL_LOW_SIDE; MF Set.Comm Err. 5; 
F323; EMCY_LEVEL_LOW_SIDE; MF Set.Comm Err. 6; 
F324; EMCY_LEVEL_LOW_SIDE; MF Set.Comm Err. 7; 
F400; EMCY_LEVEL_FC; FC invalid command; 
F401; EMCY_LEVEL_FC; FC command no effect; 
F402; EMCY_LEVEL_FC; FC critical state; 
F403; EMCY_LEVEL_FC; FC panic state; 
F404; EMCY_LEVEL_FC; FC EMCY received; hide
F405; EMCY_LEVEL_FC; Dashboard HB lost; 
F406; EMCY_LEVEL_FC; FC reset failed; 
F407; EMCY_LEVEL_FC; Purge value invalid; 
F409; EMCY_LEVEL_FC; H2 sensor front fault; 
F40A; EMCY_LEVEL_FC; H2 sensor rear fault; 
F40D; EMCY_LEVEL_FC; FC air in overpress.; 
F40E; EMCY_LEVEL_FC; No air FC in press.; 
F40F; EMCY_LEVEL_FC; Air FC in press. spec; 
F410; EMCY_LEVEL_FC; Air FC in overtemp.; 
F411; EMCY_LEVEL_FC; Air FC in undertemp.; 
F412; EMCY_LEVEL_FC; Air FC in RH too low; 
F413; EMCY_LEVEL_FC; Air FC in RH out spec; 
F414; EMCY_LEVEL_FC; Air FC in MF too low; 
F415; EMCY_LEVEL_FC; Air FC in MF spec.; 
F416; EMCY_LEVEL_FC; Rotrex oil overtemp; 
F417; EMCY_LEVEL_FC; H2 FC in overpress.; 
F418; EMCY_LEVEL_FC; No H2 FC in press.; 
F419; EMCY_LEVEL_FC; H2 FC in press. spec.; 
F41A; EMCY_LEVEL_FC; H2 FC press drop low; 
F41B; EMCY_LEVEL_FC; H2 FC press drop spec; 
F41C; EMCY_LEVEL_FC; H2 FC press diff high; 
F41D; EMCY_LEVEL_FC; H2 FC press diff low; 
F41E; EMCY_LEVEL_FC; H2 FC press diff spec; 
F41F; EMCY_LEVEL_FC; H2 FC in MF out spec.; 
F420; EMCY_LEVEL_FC; H2 FC in RH too low; 
F421; EMCY_LEVEL_FC; H2 FC in RH out spec.; 
F422; EMCY_LEVEL_FC; H2 FC in overtemp.; 
F423; EMCY_LEVEL_FC; H2 FC in undertemp.; 
F424; EMCY_LEVEL_FC; H2 LPB F in overpress; 
F425; EMCY_LEVEL_FC; No H2 LPB F in press; 
F426; EMCY_LEVEL_FC; H2 LPB R in overpress; 
F427; EMCY_LEVEL_FC; No H2 LPB R in press; 
F428; EMCY_LEVEL_FC; Recirc. speed too low; 
F429; EMCY_LEVEL_FC; Recircsupply overtemp; 
F42A; EMCY_LEVEL_FC; Castle overtemp.; 
F42B; EMCY_LEVEL_FC; FC cool in overtemp.; 
F42C; EMCY_LEVEL_FC; FC cool out overtemp.; 
F42D; EMCY_LEVEL_FC; FC cool temp. diff.; 
F42E; EMCY_LEVEL_FC; FC cool dT warning; 
F42F; EMCY_LEVEL_FC; FC cool dT out of ref; 
F430; EMCY_LEVEL_FC; Stack undervoltage; 
F431; EMCY_LEVEL_FC; Stack voltage spec.; 
F432; EMCY_LEVEL_FC; FC startup timeout; 
F433; EMCY_LEVEL_FC; AMK state timeout; 
F436; EMCY_LEVEL_FC; H2 conc front high; 
F437; EMCY_LEVEL_FC; H2 conc rear high; 
F438; EMCY_LEVEL_FC; AMK overcurrent; 
F439; EMCY_LEVEL_FC; AMK invalid setpoint; 
F43A; EMCY_LEVEL_FC; AMK drive fault; 
F43B; EMCY_LEVEL_FC; AMK timeout; 
F43C; EMCY_LEVEL_FC; AMK motor overtemp.; 
F43D; EMCY_LEVEL_FC; AMK IGBT overtemp.; 
F43E; EMCY_LEVEL_FC; AMK inverter overtemp; 
F43F; EMCY_LEVEL_FC; AMK unexp. disable; 
F440; EMCY_LEVEL_FC; AMK drive warning; 
F441; EMCY_LEVEL_FC; AMK CAN timeout; 
F442; EMCY_LEVEL_FC; AMK pump timeout; 
F443; EMCY_LEVEL_FC; AMK pump checksum; 
F444; EMCY_LEVEL_FC; FC pump timeout; 
F445; EMCY_LEVEL_FC; FC pump checksum; 
F446; EMCY_LEVEL_FC; FC cool under pres.; 
F447; EMCY_LEVEL_FC; FC cool over pres.; 
F448; EMCY_LEVEL_FC; AMK cool under pres.; 
F449; EMCY_LEVEL_FC; AMK cool over pres.; 
F44A; EMCY_LEVEL_FC; H2 MFM unexp. status; 
F44B; EMCY_LEVEL_FC; H2 MFM warning; 
F44C; EMCY_LEVEL_FC; H2 MFM timeout; 
F44D; EMCY_LEVEL_FC; H2 MFM commun. failed; 
F44E; EMCY_LEVEL_FC; Bleed valve overcurr.; 
F44F; EMCY_LEVEL_FC; Bleed valve overcurr.; 
F450; EMCY_LEVEL_FC; EMCY valve overcurr.; 
F451; EMCY_LEVEL_FC; Purge valve overcurr.; 
F452; EMCY_LEVEL_FC; Stack fan overcurrent; 
F453; EMCY_LEVEL_FC; Tank solenoid overcur; 
F454; EMCY_LEVEL_FC; Tank solenoid overcur; 
F455; EMCY_LEVEL_FC; Waste pump overcurr.; 
F456; EMCY_LEVEL_FC; Waste pump fuse blown; 
F457; EMCY_LEVEL_FC; FC fan R1 overcurrent; 
